0;1;2;3;4;5;6;7;8;9;10;11;12
Ocorrência de Parada;;;;;;;;;;;;
Empresa;;Prodwin Tecnologias;;;;;;;;;;
Período;;2026-03-19 00:00:00;2026-03-19 00:00:00;;;;;;;;;
Grupo de Máquina;;ARAGUARI;;;;;;;;;;
;;;;;;;;;;;;
Máquina;OP;Produto;Parada;Motivo Parada;Turno;Inicio;Fim;Duração;Tempo sem peso;Tempo com peso;Técnico;Complemento
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 01:09:50.040000;2026-03-19 01:09:53.897000;0:00:03.857000;0:00:03.857000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 01:29:28.533000;2026-03-19 01:30:02.790000;0:00:34.257000;0:00:34.257000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 01:30:10.960000;2026-03-19 01:31:46.277000;0:01:35.317000;0:01:35.317000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 01:34:58.507000;2026-03-19 01:35:39.030000;0:00:40.523000;0:00:40.523000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 01:38:20.947000;2026-03-19 01:38:33.967000;0:00:13.020000;0:00:13.020000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 01:42:50.653000;2026-03-19 01:44:29.727000;0:01:39.074000;0:01:39.074000;0:00:00;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-19 01:48:07.997000;2026-03-19 01:48:33.157000;0:00:25.160000;0:00:00;0:00:25.160000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-19 01:58:43.437000;2026-03-19 01:58:50.640000;0:00:07.203000;0:00:00;0:00:07.203000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-19 01:59:15.773000;2026-03-19 01:59:20.247000;0:00:04.474000;0:00:00;0:00:04.474000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-19 01:59:43.053000;2026-03-19 02:06:34.633000;0:06:51.580000;0:00:00;0:06:51.580000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-19 02:06:45.913000;2026-03-19 02:06:46.470000;0:00:00.557000;0:00:00;0:00:00.557000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-19 02:08:56.147000;2026-03-19 02:09:02.753000;0:00:06.606000;0:00:00;0:00:06.606000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-19 02:09:39.257000;2026-03-19 02:10:54.150000;0:01:14.893000;0:00:00;0:01:14.893000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-19 02:20:16.810000;2026-03-19 02:20:26.207000;0:00:09.397000;0:00:00;0:00:09.397000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-19 02:21:51.690000;2026-03-19 02:24:30.987000;0:02:39.297000;0:00:00;0:02:39.297000;;
30;0616240993;060200801005;999;Microparada;3O. TURNO;2026-03-19 02:27:12;2026-03-19 02:27:41.313000;0:00:29.313000;0:00:00;0:00:29.313000;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 02:27:56.700000;2026-03-19 02:28:09.433000;0:00:12.733000;0:00:12.733000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 02:30:08.463000;2026-03-19 02:30:11.230000;0:00:02.767000;0:00:02.767000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 02:30:20.437000;2026-03-19 02:31:15.953000;0:00:55.516000;0:00:55.516000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 02:32:07.357000;2026-03-19 02:32:45.127000;0:00:37.770000;0:00:37.770000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 02:39:59.907000;2026-03-19 02:40:06.330000;0:00:06.423000;0:00:06.423000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 02:40:17.720000;2026-03-19 02:40:59.127000;0:00:41.407000;0:00:41.407000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 02:41:14.750000;2026-03-19 02:42:54.113000;0:01:39.363000;0:01:39.363000;0:00:00;;
