Dia;LinhaProducao;Hora;OEE;Produto;Paradas;TempoTotalParada
14/03/2026;SIG III;23:00 - 00:00;71.35%;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM3043 - Falha no envolvimento com a caixa | GM3033 - Falha na Aplicaçăo de Cola do aplicador de canudos;0:15:46.521
14/03/2026;SIG III;00:00 - 01:00;79.96%;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM3043 - Falha no envolvimento com a caixa | GM3042 - Falha no esquadrejamento das embalagens;0:10:38.211
14/03/2026;SIG III;01:00 - 02:00;70.70%;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM3043 - Falha no envolvimento com a caixa;0:16:39.125
14/03/2026;SIG III;02:00 - 03:00;83.27%;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM3043 - Falha no envolvimento com a caixa | GM3082 - Falha no Corte de Filme shrink | GM3042 - Falha no esquadrejamento das embalagens;0:08:28.133
14/03/2026;SIG III;03:00 - 03:58;71.11%;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM3043 - Falha no envolvimento com a caixa | 999 - Microparada;0:15:10.484
14/03/2026;SIG III;03:58 - 04:00;25.58%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM3043 - Falha no envolvimento com a caixa;0:01:05.243
14/03/2026;SIG III;04:00 - 05:00;67.43%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM3043 - Falha no envolvimento com a caixa | GM3042 - Falha no esquadrejamento das embalagens;0:18:14.367
14/03/2026;SIG III;05:00 - 06:00;80.43%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM3043 - Falha no envolvimento com a caixa | GM3022 - Falha no Cabeçote de Saída Acumulador | GM3042 - Falha no esquadrejamento das embalagens;0:09:56.206
14/03/2026;SIG III;06:00 - 07:00;63.64%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM3042 - Falha no esquadrejamento das embalagens | GM3056 - Falha na Captura | GM3043 - Falha no envolvimento com a caixa | 999 - Microparada;0:20:33.595
14/03/2026;SIG III;07:00 - 08:00;33.24%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM3056 - Falha na Captura | GM3043 - Falha no envolvimento com a caixa;0:39:27.897
14/03/2026;SIG III;08:00 - 09:00;87.73%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM3043 - Falha no envolvimento com a caixa | 999 - Microparada;0:05:58.500
14/03/2026;SIG III;09:00 - 10:00;51.00%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM3043 - Falha no envolvimento com a caixa | GM3027 - Falha na aplicaçăo de canudos | GZ3001 -                                   Parada por Horário de Refeiçăo | 999 - Microparada;0:29:13.892
14/03/2026;SIG III;10:00 - 11:00;0.00%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GZ3001 -                                   Parada por Horário de Refeiçăo;1:00:00.000
14/03/2026;SIG III;11:00 - 12:00;75.03%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GZ3001 -                                   Parada por Horário de Refeiçăo | GM3017 - Falha na Transferęncia para Esteira de saída | GM3056 - Falha na Captura;0:25:12.996
14/03/2026;SIG III;12:00 - 13:00;58.60%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM3043 - Falha no envolvimento com a caixa | GM3056 - Falha na Captura | GM3083 - Falha no Trasnsporte de Saída da Shrink | GM3017 - Falha na Transferęncia para Esteira de saída;0:23:26.708
14/03/2026;SIG III;13:00 - 14:00;42.48%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM3043 - Falha no envolvimento com a caixa | GM3027 - Falha na aplicaçăo de canudos | GM3083 - Falha no Trasnsporte de Saída da Shrink | GM3002 - Falha no Feeder (Alimentaçăo Roda Mandril) | 999999999 - Parada Nao Informada | 999 - Microparada;0:32:36.686
14/03/2026;SIG III;14:00 - 15:00;76.38%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM3042 - Falha no esquadrejamento das embalagens | GM3027 - Falha na aplicaçăo de canudos | GM3023 - Falha no Transporte Acumulador - Aplicadora de Canudos | GM3043 - Falha no envolvimento com a caixa | 999 - Microparada | GM3050 - Falha no transporte de saída da traypacker | GM3051 - Falha no transporte de entrada de caixas do Robô;0:12:28.777
14/03/2026;SIG III;15:00 - 15:04;63.88%;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;999999999 - Parada Nao Informada;0:01:31.450
14/03/2026;LATA;21:00 - 22:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;22:00 - 23:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;23:00 - 00:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;00:00 - 01:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;01:00 - 02:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;02:00 - 03:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;03:00 - 04:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;04:00 - 05:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;05:00 - 06:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;06:00 - 07:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;07:00 - 08:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;08:00 - 09:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;09:00 - 10:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;10:00 - 11:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;11:00 - 12:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;12:00 - 13:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;13:00 - 14:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;14:00 - 15:00;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;1:00:00.000
14/03/2026;LATA;15:00 - 15:04;0.00%;060101202084 - MAGUARY NM UVA 6X335ML LATA;999999999 - Parada Nao Informada;0:04:40.790
14/03/2026;PET;21:00 - 22:00;0.00%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GP4001 -                                   Sem Demanda de Produçăo;1:00:00.000
14/03/2026;PET;22:00 - 23:00;0.00%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GP4001 -                                   Sem Demanda de Produçăo;1:00:00.000
14/03/2026;PET;23:00 - 00:00;0.00%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GP4001 -                                   Sem Demanda de Produçăo;1:00:00.000
14/03/2026;PET;00:00 - 01:00;0.00%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GP4001 -                                   Sem Demanda de Produçăo;1:00:00.000
14/03/2026;PET;01:00 - 02:00;0.00%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GP4001 -                                   Sem Demanda de Produçăo;1:00:00.000
14/03/2026;PET;02:00 - 03:00;0.00%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GP4001 -                                   Sem Demanda de Produçăo;1:00:00.000
